#,Who,=,Penalty,A,B,C,D
1.0,43153957TrungDD,400.0,137,100.0,100.0,100.0,100.0
1.0,43154247TungNAT,400.0,145,100.0,100.0,100.0,100.0
1.0,43163343QuanDA,400.0,402,100.0,100.0,100.0,100.0
1.0,43160623DieuTV,400.0,468,100.0,100.0,100.0,100.0
5.0,43172987CuongLV,380.0,438,100.0,100.0,80.0,100.0
5.0,43163506SonDN,380.0,504,100.0,100.0,80.0,100.0
5.0,43152737NguyenPV,380.0,615,100.0,100.0,80.0,100.0
5.0,43173238LocNQ,380.0,616,100.0,100.0,80.0,100.0
5.0,43161309HaiNT,380.0,661,100.0,100.0,80.0,100.0
10.0,43161318HaiNX,360.0,537,100.0,100.0,80.0,80.0
10.0,43163209PhuongBN,360.0,549,100.0,80.0,80.0,100.0
10.0,43164039TiemNV,360.0,581,100.0,100.0,80.0,80.0
13.0,43151915HuongBP,340.0,489,100.0,100.0,80.0,60.0
13.0,43152379MaiTTN,340.0,514,100.0,100.0,80.0,60.0
13.0,43145315VuNT,340.0,519,100.0,100.0,80.0,60.0
13.0,43166668SonHT,340.0,532,100.0,100.0,80.0,60.0
13.0,43152414ManhTB,340.0,607,100.0,100.0,80.0,60.0
13.0,43173344SonPH,340.0,616,100.0,60.0,80.0,100.0
19.0,43167030VuongNQ,320.0,476,100.0,80.0,80.0,60.0
20.0,43173485AnhNV,300.0,491,100.0,60.0,80.0,60.0
20.0,43172936anhndq,300.0,502,100.0,80.0,80.0,40.0
20.0,43153292TamNV,300.0,507,100.0,60.0,80.0,60.0
20.0,43154077TuanDA,300.0,541,100.0,100.0,80.0,20.0
24.0,43151334HieuND,280.0,212,100.0,100.0,80.0,0.0
24.0,43152388ManhDT,280.0,580,100.0,60.0,80.0,40.0
26.0,43151106GiangPTH,260.0,581,100.0,20.0,80.0,60.0
27.0,43173333QuyenTT,240.0,181,100.0,0.0,80.0,60.0
27.0,43151471hoannc,240.0,415,100.0,100.0,0.0,40.0
27.0,43152248LoanNTH,240.0,420,100.0,80.0,60.0,0.0
27.0,43154080TuanDV,240.0,460,100.0,60.0,80.0,0.0
27.0,43150211AnhBTN,240.0,545,100.0,20.0,60.0,60.0
32.0,43151188hailq_1,220.0,383,100.0,40.0,80.0,0.0
32.0,43151676huynd_1,220.0,458,100.0,40.0,80.0,0.0
34.0,43166530ngocTT,200.0,327,100.0,20.0,80.0,0.0
34.0,43173444TuanBM,200.0,435,100.0,20.0,80.0,0.0
34.0,43177021Quyetnd,200.0,446,100.0,20.0,80.0,0.0
37.0,43151368HieuTM_1,180.0,227,100.0,0.0,80.0,0.0
38.0,43141512HieuLV,100.0,14,100.0,0.0,0.0,0.0
38.0,43150589DungPT,100.0,46,100.0,0.0,0.0,0.0
38.0,43151182HaiDV,100.0,96,100.0,0.0,0.0,0.0
