#,Who,=,Penalty,A,B,C,D
1.0,08176779HungND,400.0,203,100.0,100.0,100.0,100.0
1.0,08176905vangtt,400.0,216,100.0,100.0,100.0,100.0
1.0,08176806longld,400.0,235,100.0,100.0,100.0,100.0
1.0,08176866thaind,400.0,243,100.0,100.0,100.0,100.0
1.0,08173554MinhNQ,400.0,270,100.0,100.0,100.0,100.0
1.0,08176677annt,400.0,368,100.0,100.0,100.0,100.0
1.0,08176727dungvt,400.0,375,100.0,100.0,100.0,100.0
1.0,08176792khangnm,400.0,387,100.0,100.0,100.0,100.0
1.0,08176901tungnt,400.0,411,100.0,100.0,100.0,100.0
1.0,08176761hoangbt,400.0,411,100.0,100.0,100.0,100.0
1.0,08176765hoangvm,400.0,445,100.0,100.0,100.0,100.0
1.0,08176872thanhdt,400.0,457,100.0,100.0,100.0,100.0
1.0,08176748hangtt,400.0,507,100.0,100.0,100.0,100.0
1.0,08176732duongtt,400.0,553,100.0,100.0,100.0,100.0
1.0,08176772huedt.,400.0,615,100.0,100.0,100.0,100.0
16.0,08176841nhonlv,390.0,588,100.0,90.0,100.0,100.0
17.0,08176722duclt,370.0,332,100.0,70.0,100.0,100.0
17.0,08176860sonlt,370.0,400,100.0,90.0,100.0,80.0
17.0,08176808longt,370.0,466,100.0,70.0,100.0,100.0
20.0,08150853datnt,360.0,427,100.0,60.0,100.0,100.0
21.0,08176794khanhcq,350.0,411,70.0,80.0,100.0,100.0
21.0,08176763hoangnx,350.0,461,70.0,80.0,100.0,100.0
21.0,08176746haipk,350.0,584,100.0,50.0,100.0,100.0
21.0,08176873thanhld,350.0,664,70.0,80.0,100.0,100.0
25.0,08160625dinhnt,340.0,674,70.0,70.0,100.0,100.0
26.0,08176762hoangnv,330.0,535,100.0,80.0,100.0,50.0
27.0,08176881thongdm,300.0,209,100.0,0.0,100.0,100.0
27.0,08176846phuocnd,300.0,220,100.0,0.0,100.0,100.0
27.0,08176744hapt,300.0,246,100.0,0.0,100.0,100.0
27.0,08176835nghiant,300.0,338,100.0,0.0,100.0,100.0
27.0,08176783huyqq,300.0,433,70.0,30.0,100.0,100.0
32.0,08176845phucnm,290.0,545,100.0,30.0,100.0,60.0
32.0,08176679anhnth,290.0,699,100.0,30.0,100.0,60.0
34.0,0819T011Daniel1,170.0,221,70.0,0.0,100.0,0.0
34.0,08163255phuongtva,170.0,254,70.0,0.0,100.0,0.0
34.0,08176760hoaintt,170.0,263,70.0,0.0,100.0,0.0
