#,Who,=,Penalty,A,B,C,D
1.0,45183735Hien.VQ,315.0,746,85.0,100.0,100.0,30.0
2.0,45164814DuyNC,295.0,522,100.0,100.0,95.0,0.0
3.0,45161042DinhNH,270.0,369,100.0,100.0,70.0,0.0
4.0,45166531NgocVT,200.0,318,100.0,100.0,0.0,0.0
5.0,45173095HaiDB_,185.0,533,75.0,100.0,10.0,0.0
6.0,45166810ThuanNV,180.0,639,70.0,100.0,10.0,0.0
7.0,45144662TrinhND,165.0,683,55.0,100.0,10.0,0.0
8.0,45164787LanPD,160.0,586,55.0,100.0,5.0,0.0
9.0,45160370BinhNN11,155.0,392,50.0,100.0,5.0,0.0
10.0,45153997trungnxt,145.0,315,45.0,100.0,0.0,0.0
11.0,45140428ChienDD,115.0,441,55.0,50.0,10.0,0.0
12.0,45151214HaiPV,110.0,566,50.0,50.0,10.0,0.0
12.0,45165819ChuongDV1,110.0,642,50.0,50.0,10.0,0.0
14.0,45166030HaNQ,105.0,481,55.0,50.0,0.0,0.0
15.0,45183801MinhT,100.0,471,50.0,50.0,0.0,0.0
16.0,45173126Hoannt,80.0,169,80.0,0.0,0.0,0.0
17.0,43152676NgocDM,50.0,84,50.0,0.0,0.0,0.0
17.0,45152851PHUTV,50.0,253,50.0,0.0,0.0,0.0
