#,Who,=,Penalty,A,B,C,D
1.0,45164814DuyNC,315.0,872,100.0,100.0,55.0,60.0
2.0,45183735Hien.VQ,290.0,685,100.0,100.0,50.0,40.0
3.0,45151214HaiPV,210.0,589,50.0,80.0,60.0,20.0
4.0,45153997trungnxt,200.0,486,100.0,100.0,0.0,0.0
5.0,45161042DinhNH,180.0,709,60.0,5.0,55.0,60.0
6.0,45160370BinhNN11,165.0,542,50.0,0.0,55.0,60.0
6.0,45173126Hoannt,165.0,682,50.0,5.0,50.0,60.0
8.0,45166810ThuanNV,160.0,903,20.0,100.0,20.0,20.0
9.0,45164787LanPD,155.0,784,50.0,5.0,60.0,40.0
10.0,45152133LamNT,150.0,488,50.0,100.0,0.0,0.0
10.0,45152851PHUTV,150.0,496,50.0,100.0,0.0,0.0
10.0,45150081_AnhNT,150.0,510,50.0,100.0,0.0,0.0
13.0,45165819ChuongDV1,125.0,517,50.0,5.0,50.0,20.0
14.0,45166531NgocVT,115.0,533,40.0,5.0,50.0,20.0
15.0,45166030HaNQ,100.0,369,50.0,0.0,50.0,0.0
16.0,45144662TrinhND,95.0,251,50.0,0.0,45.0,0.0
17.0,45183801MinhT,40.0,531,0.0,0.0,20.0,20.0
17.0,45172938AnhLC,40.0,590,15.0,5.0,20.0,0.0
19.0,43152676NgocDM,30.0,201,0.0,0.0,30.0,0.0
20.0,45140428ChienDD,15.0,190,0.0,0.0,15.0,0.0
21.0,45166178HueDT1,0.0,0,0.0,0.0,0.0,0.0
